Hand,Battles,Winrate
LurkerBurrowed/WidowMineBurrowed,4,0.0
SiegeTank/Zealot,4,0.0
LurkerBurrowed/Ultralisk,2,0.0
Lurker/WidowMineBurrowed,1,0.0
Cyclone/WidowMineBurrowed,7,0.0
Lurker/Viking,1,0.0
LurkerBurrowed/ThorAP,3,0.0
Battlecruiser/LiberatorAG,5,0.0
WidowMineBurrowed/Zealot,8,0.0
LurkerBurrowed/Marauder,5,0.0
LurkerBurrowed/Marine,3,0.0
HighTemplar/SiegeTankSieged,2,0.0
LurkerBurrowed/Reaper,2,0.0
SiegeTankSieged/Stalker,7,0.0
Cyclone/SiegeTankSieged,7,0.0
Adept/SiegeTankSieged,4,0.0
Reaper/WidowMineBurrowed,5,0.0
Mothership/Viking,2,0.0
Mothership/SiegeTankSieged,4,0.0
Ghost/LurkerBurrowed,2,0.0
Reaper/SiegeTank,4,0.0
Oracle/Viking,6,0.0
Infestor/SiegeTankSieged,4,0.0
LurkerBurrowed/Stalker,1,0.0
Hydralisk/Viking,4,0.0
Baneling/WidowMineBurrowed,3,0.0
Banshee/Lurker,3,0.0
HighTemplar/WidowMine,1,0.0
DarkTemplar/WidowMine,1,0.0
Baneling/SiegeTankSieged,6,0.0
Hydralisk/LurkerBurrowed,3,0.0
Ultralisk/WidowMineBurrowed,3,0.0
Archon/WidowMineBurrowed,7,0.0
Adept/WidowMineBurrowed,5,0.0
SiegeTankSieged/SwarmHostBurrowed,2,0.0
Colossus/SiegeTankSieged,7,0.0
LurkerBurrowed/Oracle,2,0.0
Hydralisk/SiegeTankSieged,9,0.0
Mothership/Roach,5,0.0
SiegeTankSieged/VikingAssault,2,0.0
LurkerBurrowed/SiegeTankSieged,5,0.0
Carrier/SwarmHost,1,0.0
SiegeTankSieged/Zealot,3,0.0
Baneling/LurkerBurrowed,3,0.0
Ghost/Viking,4,0.0
LiberatorAG/WidowMineBurrowed,1,0.0
Marine/SiegeTankSieged,6,0.0
Adept/LurkerBurrowed,5,0.0
LurkerBurrowed/VikingAssault,2,0.0
Adept/Viking,4,0.0
Roach/SiegeTankSieged,2,0.0
Immortal/Lurker,3,0.0
BattleHellion/LurkerBurrowed,2,0.0
LiberatorAG/Phoenix,4,0.0
LurkerBurrowed/Phoenix,3,0.0
Medivac/Zealot,2,0.0
BattleHellion/WidowMineBurrowed,4,0.0
Adept/SiegeTank,1,0.0
Roach/WidowMineBurrowed,4,0.0
SiegeTank/Viking,1,0.0
WidowMine/WidowMineBurrowed,6,0.0
Phoenix/WidowMineBurrowed,4,0.0
SiegeTankSieged/Ultralisk,6,0.0
Hellion/SiegeTankSieged,3,0.0
LurkerBurrowed/Zealot,3,0.0
LurkerBurrowed/Roach,3,0.0
Marauder/VikingAssault,5,0.0
Phoenix/SCV,1,0.0
Probe/Reaper,2,0.0
Oracle/Probe,1,0.0
Drone/Hydralisk,1,0.0
SCV/ThorAP,1,0.0
HighTemplar/Overlord,2,0.0
Marine/SCV,1,0.0
Battlecruiser/SCV,1,0.0
SCV/Thor,1,0.0
Raven/SCV,1,0.0
Drone/SCV,1,0.0
Hellion/Thor,2,0.0
Adept/SCV,1,0.0
Liberator/Probe,1,0.0
Oracle/SCV,1,0.0
DarkTemplar/SCV,1,0.0
Overlord/Queen,1,0.0
BattleHellion/Probe,1,0.0
Immortal/Medivac,2,0.0
Probe/SCV,1,0.0
Overlord/Zealot,1,0.0
Drone/Ghost,1,0.0
Probe/Ultralisk,1,0.0
Infestor/SCV,1,0.0
Immortal/LurkerBurrowed,1,0.0
Drone/Marauder,1,0.0
Reaper/SiegeTankSieged,8,0.0
Archon/SCV,1,0.0
Overlord/Raven,1,0.0
Drone/Mutalisk,1,0.0
Banshee/Medivac,2,0.0
LiberatorAG/VoidRay,2,0.0
HighTemplar/Medivac,2,0.0
Corruptor/SiegeTank,2,0.0
SiegeTank/Zergling,2,0.0
Banshee/LiberatorAG,2,0.0
Viking/VikingAssault,2,0.0
Medivac/SiegeTankSieged,1,0.0
Medivac/Viking,1,0.0
BattleHellion/SiegeTankSieged,2,0.0
HighTemplar/LiberatorAG,4,0.0
SiegeTank/VoidRay,1,0.0
Viking/Zealot,2,0.0
Baneling/LiberatorAG,1,0.0
Queen/Thor,1,0.0
Viking/WidowMine,1,0.0
LurkerBurrowed/Zergling,2,0.0
